List,#,Title,Year,Director,Country,Status,Reason,Tags,Notes
PREVIOUSLY EXCLUDED,1,Rio,2011,Carlos Saldanha,Brazil,❌ EXCLUDED,"Animated film. Fails about_community bar—doesn't center Latino community experience",,"Concerns about cultural authenticity in animated genre"
PREVIOUSLY EXCLUDED,2,Maya & Miguel,2005,Unknown,Unknown,⏳ ON HOLD,"Heritage unverified. Requires research to confirm Latino creator credentials",,"Strong candidate IF Carlos Dorta heritage confirmed"
PREVIOUSLY EXCLUDED,3,The Young and the Damned,1950,Luis Buñuel,Spain,❌ EXCLUDED,"Director is Spanish, not Latino. Fails led_by criterion.",,"Important Latin American cinema, but Spanish director"
PREVIOUSLY EXCLUDED,4,I Am Cuba,1964,Mikheil Kalatozishvili,Soviet Union,❌ EXCLUDED,"Soviet director despite Cuban subject matter. Fails led_by criterion.",,"Cuban subject but non-Latino director"
PREVIOUSLY EXCLUDED,5,Biutiful,2010,Alejandro González Iñárritu,Mexico,❌ EXCLUDED,"Mexican director but film centers Spanish immigrant experience, not Latino community. Fails about_community bar.",,"Director is Latino but subject matter doesn't center Latino experience"
PREVIOUSLY EXCLUDED,6,Tango,1998,Carlos Saura,Spain,❌ EXCLUDED,"Spanish director. While tango-themed, doesn't specifically center Latino community as primary subject. Ambiguous about_community fit.",,"Ambiguous fit; Spanish director"
CRITERIA EXCEPTIONS - ALLOWED,1,Pan's Labyrinth,2006,Guillermo del Toro,Mexico,✅ IN CANON,"Mexican director; magical realism rooted in Latin American literary tradition despite Spanish Civil War setting.","led_by, about_community","Exception: setting is Spain but filmmaker is Latino"
CRITERIA EXCEPTIONS - ALLOWED,2,McFarland USA,2015,Niki Caro,New Zealand,✅ IN CANON,"Non-Latino director BUT powerfully centers Latino high school community experience and cultural identity.","about_community","Exception: non-Latino director but strong about_community"
CRITERIA EXCEPTIONS - ALLOWED,3,Even the Rain,2010,Icíar Bollaín,Spain,✅ IN CANON,"Spanish director BUT centers Bolivian indigenous community fight for water rights (2000 Cochabamba Water War). Major impact on Latin American cinema scholarship.","about_community","Exception: Spanish director but centers Latino community struggle"
IMDB 102 LIST - ALREADY IN CANON,7,Dark River,1952,Hugo del Carril,Argentina,✅ IN CANON,,"led_by, about_community",Argentine cinema foundation
IMDB 102 LIST - ALREADY IN CANON,13,The Hour of the Furnaces,1968,"Octavio Getino, Fernando E. Solanas",Argentina,✅ IN CANON,,"created_by, about_community, breakthrough",Revolutionary documentary
IMDB 102 LIST - ALREADY IN CANON,14,Invasion,1969,Hugo Santiago,Argentina,✅ IN CANON,,"led_by, about_community",Argentine experimental
IMDB 102 LIST - ALREADY IN CANON,33,Barren Lives,1963,Nelson Pereira dos Santos,Brazil,✅ IN CANON,,"led_by, about_community",Cinema Novo
IMDB 102 LIST - ALREADY IN CANON,34,The Guns,1964,Ruy Guerra,Brazil,✅ IN CANON,,"led_by, about_community",Cinema Novo
